Years	Total	Agriculture, forestry and fishing	extractive industries	manufacturing industries	Electricity, gas, steam	Collection, treatment and distribution of water, sanitation, waste management and depollution	Construction	Wholesale and retail trade, repair of motor vehicles and motorcycles	transport and storage	Accommodation, catering and similar	Information and communication activities	Financial and insurance activities	real estate activities	Consulting, scientific, technical and similar activities	Administrative activities and support services	Public administration and defense, mandatory social security	education	Human health activities and social support	Artistic, performing, sporting and recreational activities	Other service activities
1995	27561,30	2019,10	983,30	1330,20	9900,00	10645,00	304,50	138,30	1437,70	33,60	21,20	10,70	5,20	44,60	63,30	137,90	40,40	101,80	133,50	211,00
1996	24109,40	2030,30	1104,20	1224,80	7156,20	9999,00	303,40	168,20	1403,80	50,70	20,50	10,40	5,30	43,10	64,90	112,60	32,30	92,50	113,10	174,10
1997	23869,70	2215,80	712,40	1219,20	7431,90	9593,80	287,20	177,30	1384,70	67,50	20,10	9,00	5,00	42,20	65,30	77,40	28,00	88,60	108,70	335,60
1998	23545,30	2192,90	632,60	1178,60	7799,30	9136,20	281,70	204,80	1361,40	63,60	23,90	9,80	5,80	41,70	70,60	85,10	19,80	109,20	111,10	217,20
1999	25805,90	2241,40	632,00	1135,10	10536,10	8771,50	262,40	215,10	1334,30	66,00	24,10	10,20	5,60	38,80	70,70	84,50	17,50	111,80	96,50	152,30
2000	24263,30	2296,30	649,20	1115,40	8987,90	8692,40	269,90	216,90	1375,80	62,20	24,50	8,80	5,80	34,60	78,20	73,40	16,00	95,10	88,70	172,20
2001	24149,90	2215,30	633,20	989,30	8750,10	8850,80	243,80	178,40	1534,90	62,40	23,20	7,90	6,00	38,20	101,80	77,60	19,20	116,70	104,70	196,40
2002	24322,80	2262,20	649,20	995,50	9580,70	8337,40	249,80	180,40	1470,60	55,70	19,40	7,60	4,50	31,40	95,40	77,80	17,20	112,50	104,00	71,50
2003	20291,40	2161,00	728,30	999,60	6803,10	7151,20	255,90	186,50	1445,50	56,10	20,40	7,70	4,10	31,40	96,20	66,60	16,80	105,90	91,30	63,80
2004	19919,40	2148,20	730,80	1037,80	7012,30	6540,80	259,40	190,20	1462,40	53,10	18,90	9,90	3,50	30,20	91,40	64,90	16,20	102,90	85,30	61,20
2005	21106,00	2309,60	651,30	1020,60	8780,30	5958,10	247,10	192,60	1437,30	46,30	18,50	9,20	3,20	29,70	92,20	62,40	14,40	88,70	86,70	57,80
2006	18162,70	2232,00	486,60	972,30	7013,50	5260,70	219,70	153,80	1382,00	40,70	16,50	8,10	2,90	28,80	82,80	58,20	11,40	69,90	73,30	49,50
2007	16374,90	2393,90	546,10	951,00	5476,80	4987,70	193,80	139,40	1267,40	42,20	15,40	7,40	2,40	25,80	76,70	61,00	10,30	64,80	69,20	43,60
2008	17016,40	2342,80	682,70	916,10	6291,30	4780,40	182,80	129,00	1298,00	48,50	15,40	7,70	2,10	24,70	74,70	50,50	9,30	59,70	63,00	37,70
2009	15364,60	2376,10	591,40	828,20	5037,20	4600,90	191,40	117,80	1212,80	46,00	14,80	9,70	1,80	25,20	75,80	54,70	10,40	64,50	64,20	41,70
2010	13062,20	2333,90	520,90	820,20	3608,80	3934,80	205,80	106,60	1177,50	29,40	14,90	9,80	1,50	26,00	71,30	52,40	9,00	49,60	54,30	35,50
2011	13841,40	2485,70	526,50	772,80	4446,90	3797,00	211,30	92,50	1175,90	28,70	12,10	11,00	1,10	24,30	68,50	48,90	8,90	48,70	49,10	31,50
2012	13652,30	2493,00	442,30	766,50	4472,60	3688,10	196,50	81,40	1176,70	28,30	12,20	12,20	0,90	24,90	69,70	51,70	8,80	44,40	54,00	28,10
2013	12648,60	2280,10	448,20	812,10	3692,40	3705,00	172,00	74,20	1117,00	28,80	12,80	14,40	0,90	24,30	67,60	50,10	9,40	50,00	60,40	28,90
2014	12183,50	2279,50	475,50	774,00	3220,50	3650,40	180,10	79,90	1166,20	36,20	12,90	13,70	0,90	24,30	66,50	56,00	8,60	50,10	59,70	28,50
2015	12216,30	2179,60	563,60	744,40	3468,30	3547,50	203,20	77,20	1086,40	37,60	11,70	13,20	0,80	24,70	64,90	56,00	8,10	49,60	51,20	28,30
2016	11747,00	2145,40	498,50	663,90	3190,00	3597,10	191,10	74,50	1055,40	35,40	11,30	11,90	0,80	24,30	60,10	52,50	8,60	49,30	50,00	26,90
2017	12932,00	2037,60	473,40	651,00	4503,70	3690,90	193,30	75,90	1008,80	30,80	10,10	10,30	0,80	23,20	56,70	49,20	7,60	43,90	40,40	24,40
2018	11567,60	2015,10	495,20	601,20	3281,90	3628,60	179,20	78,80	995,60	32,90	10,40	6,60	0,80	21,80	54,60	50,90	7,20	40,70	40,30	25,80
2019	10412,60	1905,40	536,10	608,70	2381,10	3460,40	166,90	79,00	997,00	27,90	9,70	6,50	0,70	20,20	53,60	47,80	7,30	37,60	41,40	25,30
